# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033822398524284e+08,1.920000000000000151e+00,-1.167269999999999982e+03,2.324699999999999989e+02
3.376033825172265768e+08,2.120000000000000107e+00,-9.926100000000000136e+02,-3.825299999999999727e+02
3.376033825428417921e+08,1.760000000000000009e+00,-8.868300000000000409e+02,-2.177100000000000080e+02
3.376033827636805773e+08,2.080000000000000071e+00,-1.135289999999999964e+03,-5.781000000000000227e+01
3.376033828117600083e+08,1.720000000000000195e+00,-8.081100000000000136e+02,8.487000000000000455e+01
3.376033828336924911e+08,1.348000000000000043e+01,-6.851100000000000136e+02,-8.978999999999999204e+01
3.376033828831271529e+08,2.160000000000000142e+00,-1.487069999999999936e+03,4.058999999999999631e+01
3.376033829621777534e+08,3.080000000000000071e+00,-7.835099999999999909e+02,1.808100000000000023e+02
3.376033831690679193e+08,2.479999999999999982e+00,-7.638300000000000409e+02,-1.389900000000000091e+02
3.376033839639897943e+08,1.645600000000000023e+02,-8.966699999999999591e+02,5.535000000000000142e+01
3.376033840328699946e+08,1.680000000000000160e+00,-7.195499999999999545e+02,4.796999999999999886e+01
3.376033843628125191e+08,2.280000000000000249e+00,-7.244700000000000273e+02,-1.414499999999999886e+02
3.376033844019053578e+08,2.000000000000000000e+00,-8.892899999999999636e+02,-1.045499999999999972e+02
